cve_id,degree_cent,betweenness,closeness,eigenvector,pagerank,cvss_score,severity
CVE-2021-44228,0.32301938116286977,0.081101315121769,0.5963098134630981,0.04373786574270714,0.0018786410154646722,10.0,CRITICAL
CVE-2021-22946,0.3971438286297178,0.013143862202117626,0.6099128992119452,0.045166791737202415,0.0009811244435641543,7.5,HIGH
CVE-2021-3450,0.18497109826589597,0.012374999462763903,0.5316341287057122,0.02836957793013344,0.0009794584161718616,7.4,HIGH
CVE-2021-40438,0.31451887113226795,0.006142006723772822,0.5811104524797471,0.04404261720459498,0.0009138640279802969,9.0,CRITICAL
CVE-2021-37969,0.4671880312818769,0.03858174767373029,0.6317937701396348,0.04609094561553966,0.0008988445157469142,7.8,HIGH
CVE-2021-0326,0.356341380482829,0.14527742452763398,0.5934221146085553,0.042460434401384105,0.0008893654083840613,7.5,HIGH
CVE-2021-44790,0.36348180890853454,0.007292494872323844,0.5955852571891455,0.04327642048730613,0.0008690562191757569,9.8,CRITICAL
CVE-2021-21172,0.453587215232914,0.03153599511288111,0.6264110756123535,0.04562283082533655,0.0008668788900682517,8.1,HIGH
CVE-2021-21233,0.453587215232914,0.03153599511288111,0.6264110756123535,0.04562283082533655,0.0008668788900682517,8.8,HIGH
CVE-2021-4166,0.37504250255015303,0.007627240972213894,0.6022936719229982,0.04472001851166232,0.0008622761497420165,7.1,HIGH
CVE-2021-41864,0.3855831349880993,0.0054828388477235835,0.6058920477956324,0.04616088469753808,0.0008523820209387704,7.8,HIGH
CVE-2021-45444,0.37198231893913636,0.007115659556715045,0.6011856091578087,0.04462866020869676,0.0008421395550582702,7.8,HIGH
CVE-2021-44224,0.35498129887793267,0.006518896798726561,0.5925851299617168,0.04283971581558411,0.0008416419039520466,8.2,HIGH
CVE-2021-45469,0.37708262495749745,0.004879056021417424,0.6030346524502768,0.04527542161660318,0.0008309519195694869,7.8,HIGH
CVE-2021-34798,0.31213872832369943,0.004080925878260791,0.5805369127516778,0.04388516895892424,0.0008309388822002209,7.5,HIGH
CVE-2021-37980,0.4342060523631418,0.028677510948072603,0.615787269681742,0.04236066682021272,0.0008308931996537509,7.4,HIGH
CVE-2021-20322,0.36042162529751787,0.005445690624423057,0.59474216380182,0.043494300265587635,0.0008291507969410323,7.4,HIGH
CVE-2021-30954,0.3597415844950697,0.006793887756211665,0.5940214098161988,0.04282288501690742,0.0008230115142482167,7.8,HIGH
CVE-2021-30952,0.3597415844950697,0.006793887756211665,0.5940214098161988,0.042822885016907425,0.0008230115142482167,7.8,HIGH
CVE-2021-30934,0.3597415844950697,0.006793887756211665,0.5940214098161988,0.04282288501690743,0.0008230115142482167,8.8,HIGH
CVE-2021-30984,0.3597415844950697,0.006793887756211665,0.5940214098161988,0.04282288501690742,0.0008230115142482167,7.5,HIGH
CVE-2021-30951,0.3597415844950697,0.006793887756211665,0.5940214098161988,0.042822885016907425,0.0008230115142482167,8.8,HIGH
CVE-2021-30953,0.3597415844950697,0.006793887756211665,0.5940214098161988,0.04282288501690742,0.0008230115142482167,8.8,HIGH
CVE-2021-34714,0.009520571234274057,0.013307325971848565,0.37666495901639346,6.901763113742092e-05,0.0008197642044216482,7.4,HIGH
CVE-2021-40690,0.2230533832029922,0.01933805472279612,0.5463496191714657,0.03137058486153191,0.0008160372562959782,7.5,HIGH
CVE-2021-30846,0.356341380482829,0.00732406243326855,0.5909182238296162,0.04315953645590664,0.0008113348895130521,7.8,HIGH
CVE-2021-30858,0.356341380482829,0.00732406243326855,0.5909182238296162,0.04315953645590666,0.0008113348895130521,8.8,HIGH
CVE-2021-30851,0.356341380482829,0.00732406243326855,0.5909182238296162,0.04315953645590667,0.0008113348895130521,8.8,HIGH
CVE-2021-3752,0.36042162529751787,0.004345091663933792,0.5949828039652033,0.0437159284388303,0.0008034456677410508,7.1,HIGH
CVE-2021-22945,0.3356001360081605,0.006627689188531752,0.5585944919278253,0.03991214944707627,0.000790188228889882,9.1,CRITICAL
CVE-2021-4192,0.34648078884733086,0.006239907237669735,0.5896150761828388,0.042606904894101176,0.0007855595252534488,7.8,HIGH
CVE-2021-40490,0.35192111526691605,0.00471622188066196,0.591631462482398,0.042873303696056145,0.0007845714723806929,7.0,HIGH
CVE-2021-30936,0.34002040122407345,0.006288445229323516,0.5849244232299124,0.04110522237436335,0.000780492506833506,8.8,HIGH
CVE-2021-39275,0.3063583815028902,0.003323457879804349,0.5783677482792527,0.04383672247307734,0.0007802212573753729,9.8,CRITICAL
CVE-2021-33909,0.3536212172730364,0.004084487229640726,0.5923464249748238,0.04337439999095932,0.0007791231311958984,7.8,HIGH
CVE-2021-45046,0.2791567494049643,0.02410192862541923,0.5734061220510821,0.04175148328177773,0.0007780142375899402,9.0,CRITICAL
CVE-2021-41073,0.3512410744644679,0.004490334022515171,0.5884353741496599,0.04362977506990453,0.0007746701597484064,7.8,HIGH
CVE-2021-44733,0.34002040122407345,0.0042301835815818705,0.5851571826502189,0.039383328508898516,0.0007673249869222219,7.0,HIGH
CVE-2021-3347,0.34648078884733086,0.00438631272152593,0.5865576386118867,0.042210283885251144,0.0007621125212921294,7.8,HIGH
CVE-2021-21300,0.3369602176130568,0.005544007401339722,0.5835317460317461,0.04248126611401611,0.000758967468131599,8.0,HIGH
CVE-2021-35197,0.30941856511390686,0.003430899499303304,0.5793932230102443,0.04497795642567825,0.0007544856908218223,7.5,HIGH
CVE-2021-45078,0.30023801428085684,0.0025534853478940476,0.5763276504017245,0.04374572314412218,0.0007476377373604207,7.8,HIGH
CVE-2021-1871,0.32199931995919756,0.006710738506380838,0.5749755620723362,0.03847692430459097,0.0007436668007697767,9.8,CRITICAL
CVE-2021-1788,0.32199931995919756,0.006710738506380838,0.5749755620723362,0.03847692430459097,0.0007436668007697766,8.8,HIGH
CVE-2021-1844,0.3213192791567494,0.006509483601509999,0.574750830564784,0.0384737777589707,0.0007415357554892763,8.8,HIGH
CVE-2021-21196,0.38762325739544373,0.023819916142797274,0.5917505030181086,0.03705215407594333,0.0007367520848136326,8.8,HIGH
CVE-2021-41991,0.30669840190411424,0.00174035348801154,0.5784815106215578,0.04497534703309966,0.0007346366577919177,7.5,HIGH
CVE-2021-23134,0.3253995239714383,0.00398023457930064,0.577913146001179,0.03945965850523596,0.0007304927908191391,7.8,HIGH
CVE-2021-3612,0.31043862631757907,0.003272358230249171,0.5731826154745664,0.03667260281425351,0.0007138739761323787,7.8,HIGH
CVE-2021-38166,0.3233594015640939,0.0040876636762630925,0.5788230663255265,0.04037592356198241,0.0007127037363451054,7.8,HIGH
CVE-2021-3640,0.3046582794967698,0.00349954924826979,0.5706247574699262,0.036201943768846,0.0007098096666491303,7.0,HIGH
CVE-2021-30547,0.300918055083305,0.0054003677270693514,0.5745262746630201,0.04313976442097641,0.0007088033639723931,8.8,HIGH
CVE-2021-21341,0.31553893233594016,0.0011855617961169444,0.5816851265822784,0.04507145350450404,0.0007056738554708225,7.5,HIGH
CVE-2021-21703,0.3073784427065624,0.0014124491300598887,0.5787091696182606,0.044985471731586055,0.0007055034737487906,7.8,HIGH
CVE-2021-34551,0.3716422985379123,0.02300430872836786,0.5862068965517241,0.03560542560536843,0.0007045916086163015,8.1,HIGH
