cve_id,cvss_score,severity
CVE-2021-31891,10.0,CRITICAL
CVE-2021-41556,10.0,CRITICAL
CVE-2021-38503,10.0,CRITICAL
CVE-2021-44228,10.0,CRITICAL
CVE-2021-3781,9.9,CRITICAL
CVE-2021-20314,9.8,CRITICAL
CVE-2021-28834,9.8,CRITICAL
CVE-2021-44732,9.8,CRITICAL
CVE-2021-43299,9.8,CRITICAL
CVE-2021-43113,9.8,CRITICAL
CVE-2021-44790,9.8,CRITICAL
CVE-2021-44524,9.8,CRITICAL
CVE-2021-42392,9.8,CRITICAL
CVE-2021-3177,9.8,CRITICAL
CVE-2021-42013,9.8,CRITICAL
CVE-2021-3325,9.8,CRITICAL
CVE-2021-33913,9.8,CRITICAL
CVE-2021-3711,9.8,CRITICAL
CVE-2021-42377,9.8,CRITICAL
CVE-2021-29921,9.8,CRITICAL
CVE-2021-31535,9.8,CRITICAL
CVE-2021-28879,9.8,CRITICAL
CVE-2021-2456,9.8,CRITICAL
CVE-2021-39275,9.8,CRITICAL
CVE-2021-25315,9.8,CRITICAL
CVE-2021-44026,9.8,CRITICAL
CVE-2021-35368,9.8,CRITICAL
CVE-2021-38297,9.8,CRITICAL
CVE-2021-3918,9.8,CRITICAL
CVE-2021-3148,9.8,CRITICAL
CVE-2021-30475,9.8,CRITICAL
CVE-2021-41303,9.8,CRITICAL
CVE-2021-21783,9.8,CRITICAL
CVE-2021-38173,9.8,CRITICAL
CVE-2021-20231,9.8,CRITICAL
CVE-2021-31873,9.8,CRITICAL
CVE-2021-3406,9.8,CRITICAL
CVE-2021-33912,9.8,CRITICAL
CVE-2021-44538,9.8,CRITICAL
CVE-2021-26120,9.8,CRITICAL
CVE-2021-35474,9.8,CRITICAL
CVE-2021-1871,9.8,CRITICAL
CVE-2021-38171,9.8,CRITICAL
CVE-2021-3657,9.8,CRITICAL
CVE-2021-31556,9.8,CRITICAL
CVE-2021-32810,9.8,CRITICAL
CVE-2021-40391,9.8,CRITICAL
CVE-2021-27023,9.8,CRITICAL
CVE-2021-34813,9.8,CRITICAL
CVE-2021-20307,9.8,CRITICAL
CVE-2021-33226,9.8,CRITICAL
CVE-2021-33833,9.8,CRITICAL
CVE-2021-3520,9.8,CRITICAL
CVE-2021-43082,9.8,CRITICAL
CVE-2021-38945,9.8,CRITICAL
CVE-2021-20001,9.8,CRITICAL
CVE-2021-3420,9.8,CRITICAL
CVE-2021-41816,9.8,CRITICAL
CVE-2021-41773,9.8,CRITICAL
CVE-2021-22915,9.8,CRITICAL
CVE-2021-30474,9.8,CRITICAL
CVE-2021-22930,9.8,CRITICAL
CVE-2021-22931,9.8,CRITICAL
CVE-2021-37592,9.8,CRITICAL
CVE-2021-20308,9.8,CRITICAL
CVE-2021-3197,9.8,CRITICAL
CVE-2021-3756,9.8,CRITICAL
CVE-2021-37184,9.8,CRITICAL
CVE-2021-31872,9.8,CRITICAL
CVE-2021-30164,9.8,CRITICAL
CVE-2021-40394,9.8,CRITICAL
CVE-2021-26691,9.8,CRITICAL
CVE-2021-35042,9.8,CRITICAL
CVE-2021-25289,9.8,CRITICAL
CVE-2021-40393,9.8,CRITICAL
CVE-2021-39226,9.8,CRITICAL
CVE-2021-33574,9.8,CRITICAL
CVE-2021-43310,9.8,CRITICAL
CVE-2021-31162,9.8,CRITICAL
CVE-2021-40874,9.8,CRITICAL
CVE-2021-34552,9.8,CRITICAL
CVE-2021-25281,9.8,CRITICAL
CVE-2021-32292,9.8,CRITICAL
CVE-2021-31800,9.8,CRITICAL
CVE-2021-20204,9.8,CRITICAL
CVE-2021-20232,9.8,CRITICAL
CVE-2021-30473,9.8,CRITICAL
CVE-2021-42575,9.8,CRITICAL
CVE-2021-44143,9.8,CRITICAL
CVE-2021-26937,9.8,CRITICAL
CVE-2021-26707,9.8,CRITICAL
CVE-2021-3466,9.8,CRITICAL
CVE-2021-20236,9.8,CRITICAL
CVE-2021-43300,9.8,CRITICAL
CVE-2021-32708,9.8,CRITICAL
CVE-2021-25283,9.8,CRITICAL
CVE-2021-43301,9.8,CRITICAL
CVE-2021-40323,9.8,CRITICAL
CVE-2021-27135,9.8,CRITICAL
CVE-2021-44847,9.8,CRITICAL
CVE-2021-43303,9.8,CRITICAL
CVE-2021-31870,9.8,CRITICAL
CVE-2021-21121,9.6,CRITICAL
CVE-2021-21151,9.6,CRITICAL
